ProductName,Category,Price,Quantity,Date
Smartphone,Electronics,800,3,2023-09-01
Coffee Maker,Appliances,50,2,2023-09-01
Dining Table,Furniture,300,1,2023-09-02
Running Shoes,Apparel,80,5,2023-09-03
Book,Books,15,10,2023-09-04
LED TV,Electronics,1000,2,2023-09-05
Blender,Appliances,40,3,2023-09-06
T-shirt,Apparel,20,15,2023-09-07
Headphones,Electronics,100,4,2023-09-08
Office Chair,Furniture,120,2,2023-09-09
Laptop,Electronics,1200,1,2023-09-10
Toaster,Appliances,30,4,2023-09-11
Sneakers,Apparel,90,6,2023-09-12
Cookbook,Books,25,8,2023-09-13
Digital Camera,Electronics,800,2,2023-09-14
Sofa,Furniture,600,1,2023-09-15
Yoga Mat,Sports and Outdoors,20,7,2023-09-16
Microwave,Appliances,120,3,2023-09-17
Winter Jacket,Apparel,150,4,2023-09-18
Tablet,Electronics,500,2,2023-09-19
Coffee Table,Furniture,200,1,2023-09-20
Fitness Tracker,Sports and Outdoors,50,5,2023-09-21
Vacuum Cleaner,Appliances,150,1,2023-09-22
Jeans,Apparel,60,8,2023-09-23
Gardening Tools,Garden and Outdoor Living,30,6,2023-09-24
Gaming Console,Electronics,400,2,2023-09-25
Baby Onesies,Baby and Nursery,15,10,2023-09-26
Cooking Utensils,Kitchen,10,12,2023-09-27
Puzzle,Toys and Games,20,5,2023-09-28
Hair Dryer,Beauty and Personal Care,45,3,2023-09-29
Desk Lamp,Home and Kitchen,25,4,2023-09-30
