ProductName,Category,Price,Quantity,Date
Laptop,Electronics,1200,5,2024-01-01
Smartphone,Electronics,800,8,2024-01-01
Desk Chair,Furniture,150,10,2024-01-01
Coffee Maker,Appliances,50,3,2024-01-01
Running Shoes,Apparel,80,7,2024-01-01
TV Stand,Furniture,200,4,2024-01-02
Toaster,Appliances,30,5,2024-01-02
Hiking Boots,Apparel,120,3,2024-01-02
Wireless Mouse,Electronics,25,12,2024-01-02
Office Desk,Furniture,250,4,2024-01-02
Blender,Appliances,40,6,2024-01-03
T-shirt,Apparel,20,15,2024-01-03
Soundbar,Electronics,150,8,2024-01-03
Coffee Table,Furniture,120,3,2024-01-03
Microwave,Appliances,70,2,2024-01-03
Running Shoes,Apparel,80,7,2024-01-04
LED TV,Electronics,1000,2,2024-01-04
Yoga Mat,Apparel,25,10,2024-01-04
Bookshelf,Furniture,180,5,2024-01-04
Hand Mixer,Appliances,35,4,2024-01-04
Gaming Chair,Furniture,300,3,2024-01-05
Fitness Tracker,Electronics,90,6,2024-01-05
Couch,Furniture,600,2,2024-01-05
Blender,Appliances,40,6,2024-01-05
Running Shoes,Apparel,80,7,2024-01-05
LED TV,Electronics,1000,2,2024-01-05
Office Desk,Furniture,250,4,2024-01-06
Blender,Appliances,40,6,2024-01-07
T-shirt,Apparel,20,15,2024-01-08
Headphones,Electronics,100,9,2024-01-09
Chair,Furniture,80,5,2024-01-10
Microwave,Appliances,120,2,2024-01-11
Sneakers,Apparel,90,6,2024-01-12
Desktop Computer,Electronics,1500,3,2024-01-13
Dining Table,Furniture,300,2,2024-01-14
Toaster,Appliances,30,4,2024-01-15
Jeans,Apparel,60,8,2024-01-16
Wireless Speaker,Electronics,200,6,2024-01-17
Bookshelf,Furniture,180,3,2024-01-18
Hair Dryer,Appliances,45,5,2024-01-19
Hoodie,Apparel,40,10,2024-01-20
Tablet,Electronics,500,7,2024-01-21
Sofa,Furniture,600,1,2024-01-22
Rice Cooker,Appliances,70,3,2024-01-23
Socks,Apparel,10,20,2024-01-24
Gaming Console,Electronics,400,4,2024-01-25
Bed Frame,Furniture,700,2,2024-01-26
Vacuum Cleaner,Appliances,150,3,2024-01-27
Dress,Apparel,70,8,2024-01-28
Digital Camera,Electronics,800,1,2024-01-29
Couch,Furniture,900,1,2024-01-30
Electric Kettle,Appliances,35,5,2024-01-31
