ProductName,Category,Price,Quantity,Date
Laptop,Electronics,1200,10,2023-08-01
Coffee Maker,Appliances,100,5,2023-08-01
Running Shoes,Sports,80,15,2023-08-02
Smartphone,Electronics,800,8,2023-08-02
Blender,Appliances,50,7,2023-08-03
Baseball Glove,Sports,40,12,2023-08-03
Digital Camera,Electronics,600,4,2023-08-04
Microwave,Appliances,120,3,2023-08-04
Gym Bag,Sports,30,20,2023-08-05
Headphones,Electronics,100,10,2023-08-05
Toaster,Appliances,40,8,2023-08-06
Soccer Ball,Sports,20,25,2023-08-06
Smart TV,Electronics,900,6,2023-08-07
Refrigerator,Appliances,800,2,2023-08-07
Tennis Racket,Sports,60,10,2023-08-08
Tablet,Electronics,400,15,2023-08-08
Air Fryer,Appliances,70,5,2023-08-09
Running Shorts,Sports,25,30,2023-08-09
Bluetooth Speaker,Electronics,50,12,2023-08-10
Coffee Grinder,Appliances,35,6,2023-08-10
Dumbbells,Sports,50,18,2023-08-11
Wireless Mouse,Electronics,20,8,2023-08-11
Washing Machine,Appliances,600,3,2023-08-12
Yoga Mat,Sports,15,22,2023-08-12
Gaming Console,Electronics,400,5,2023-08-13
Slow Cooker,Appliances,80,4,2023-08-13
Basketball,Sports,30,15,2023-08-14
External Hard Drive,Electronics,60,7,2023-08-14
Coffeemaker,Appliances,40,10,2023-08-15
Treadmill,Sports,800,3,2023-08-15
Smartwatch,Electronics,150,12,2023-08-16
Toaster Oven,Appliances,50,5,2023-08-16
Baseball Bat,Sports,50,8,2023-08-17
Digital Photo Frame,Electronics,30,6,2023-08-17
Hand Blender,Appliances,25,15,2023-08-18
Golf Clubs,Sports,200,2,2023-08-18
Desktop Computer,Electronics,1000,4,2023-08-19
Air Purifier,Appliances,150,3,2023-08-19
Jump Rope,Sports,10,20,2023-08-20
External SSD,Electronics,80,5,2023-08-20
Dishwasher,Appliances,400,2,2023-08-21
Running Jacket,Sports,40,12,2023-08-21
Graphic Tablet,Electronics,70,8,2023-08-22
Rice Cooker,Appliances,60,7,2023-08-22
Camping Tent,Sports,100,4,2023-08-23
Wireless Earbuds,Electronics,40,10,2023-08-23
