ProductName,Category,Price,Quantity,Date
Smartphone,Electronics,800,3,2023-04-01
Coffee Maker,Appliances,50,2,2023-04-02
Dining Table,Furniture,300,1,2023-04-03
Running Shoes,Apparel,80,5,2023-04-04
Book,Books,15,10,2023-04-05
LED TV,Electronics,1000,2,2023-04-06
Blender,Appliances,40,3,2023-04-07
T-shirt,Apparel,20,15,2023-04-08
Headphones,Electronics,100,4,2023-04-09
Office Chair,Furniture,120,2,2023-04-10
Laptop,Electronics,1200,1,2023-04-11
Toaster,Appliances,30,4,2023-04-12
Sneakers,Apparel,90,6,2023-04-13
Cookbook,Books,25,8,2023-04-14
Digital Camera,Electronics,800,2,2023-04-15
Sofa,Furniture,600,1,2023-04-16
Yoga Mat,Sports and Outdoors,20,7,2023-04-17
Microwave,Appliances,120,3,2023-04-18
Winter Jacket,Apparel,150,4,2023-04-19
Tablet,Electronics,500,2,2023-04-20
Coffee Table,Furniture,200,1,2023-04-21
Fitness Tracker,Sports and Outdoors,50,5,2023-04-22
Vacuum Cleaner,Appliances,150,1,2023-04-23
Jeans,Apparel,60,8,2023-04-24
Gardening Tools,Garden and Outdoor Living,30,6,2023-04-25
Gaming Console,Electronics,400,2,2023-04-26
Baby Onesies,Baby and Nursery,15,10,2023-04-27
Cooking Utensils,Kitchen,10,12,2023-04-28
Puzzle,Toys and Games,20,5,2023-04-29
Hair Dryer,Beauty and Personal Care,45,3,2023-04-30
