ProductName,Category,Price,Quantity,Date
Smartphone,Electronics,800,3,2023-05-01
Coffee Maker,Appliances,50,2,2023-05-02
Dining Table,Furniture,300,1,2023-05-03
Running Shoes,Apparel,80,5,2023-05-04
Book,Books,15,10,2023-05-05
LED TV,Electronics,1000,2,2023-05-06
Blender,Appliances,40,3,2023-05-07
T-shirt,Apparel,20,15,2023-05-08
Headphones,Electronics,100,4,2023-05-09
Office Chair,Furniture,120,2,2023-05-10
Laptop,Electronics,1200,1,2023-05-11
Toaster,Appliances,30,4,2023-05-12
Sneakers,Apparel,90,6,2023-05-13
Cookbook,Books,25,8,2023-05-14
Digital Camera,Electronics,800,2,2023-05-15
Sofa,Furniture,600,1,2023-05-16
Yoga Mat,Sports and Outdoors,20,7,2023-05-17
Microwave,Appliances,120,3,2023-05-18
Winter Jacket,Apparel,150,4,2023-05-19
Tablet,Electronics,500,2,2023-05-20
Coffee Table,Furniture,200,1,2023-05-21
Fitness Tracker,Sports and Outdoors,50,5,2023-05-22
Vacuum Cleaner,Appliances,150,1,2023-05-23
Jeans,Apparel,60,8,2023-05-24
Gardening Tools,Garden and Outdoor Living,30,6,2023-05-25
Gaming Console,Electronics,400,2,2023-05-26
Baby Onesies,Baby and Nursery,15,10,2023-05-27
Cooking Utensils,Kitchen,10,12,2023-05-28
Puzzle,Toys and Games,20,5,2023-05-29
Hair Dryer,Beauty and Personal Care,45,3,2023-05-30
Desk Lamp,Home and Kitchen,25,4,2023-05-31
Winter Boots,Apparel,70,2,2023-05-31
